,End Name,Start Name,End Latitude,End Longitude,Start Latitude,Start Longitude
0,West Drive & Prospect Park West,Berkeley Pl & 7 Ave,40.661063372,-73.97945255,40.675146839,-73.975232095
1,10 St & 7 Ave,3 St & 3 Ave,40.666207799999995,-73.98199886,40.675070500000004,-73.98775226
2,3 St & Prospect Park West,3 St & Prospect Park West,40.668132,-73.97363831,40.668132,-73.97363831
3,Macon St & Nostrand Ave,Macon St & Nostrand Ave,40.680983385,-73.95004797600001,40.680983385,-73.95004797600001
4,Clinton St & Union St,Front St & Gold St,40.683116399999996,-73.99785267,40.70224,-73.982578
5,Bond St & Bergen St,Henry St & Atlantic Ave,40.6849668,-73.98620772,40.69089272,-73.99612349
6,Picnic Point,Yankee Ferry Terminal,40.685125595,-74.025353193,40.686931,-74.016966
7,Bond St & Fulton St,DeKalb Ave & S Portland Ave,40.689621888000005,-73.983042687,40.68981035,-73.97493121
8,DeKalb Ave & Hudson Ave,Lewis Ave & Kosciuszko St,40.689888,-73.981013,40.69237074,-73.93705428
9,Lawrence St & Willoughby St,Cadman Plaza E & Tillary St,40.69236178,-73.98631746,40.69597683,-73.99014892
10,Lawrence St & Willoughby St,Park Ave & St Edwards St,40.69236178,-73.98631746,40.69608941,-73.97803415
11,Johnson St & Gold St,Lawrence St & Willoughby St,40.69474881,-73.98362464,40.69236178,-73.98631746
12,Carlton Ave & Park Ave,Rivington St & Ridge St,40.69580705,-73.97355569,40.71850211,-73.98329859
13,Clinton St & Tillary St,Barclay St & Church St,40.696191999999996,-73.991218,40.71291224,-74.01020234
14,Clark St & Henry St,Jay St & Tech Pl,40.69760127,-73.99344559,40.695065,-73.987167
15,Sands St & Gold St,E 23 St & 1 Ave,40.69986937,-73.98271933,40.736502,-73.97809472
16,Water - Whitehall Plaza,Park Pl & Church St,40.70255065,-74.0127234,40.71336124,-74.00937622
17,Front St & Washington St,Emerson Pl & Myrtle Ave,40.70255088,-73.98940236,40.69363137,-73.96223558
18,Old Slip & Front St,W 20 St & 11 Ave,40.703799200000006,-74.00838676,40.746745000000004,-74.007756
19,Little West St & 1 Pl,Greenwich St & Warren St,40.70569254,-74.01677685,40.71542197,-74.01121978
20,Little West St & 1 Pl,Duane St & Greenwich St,40.70569254,-74.01677685,40.71748752,-74.0104554
21,Cliff St & Fulton St,E 11 St & 2 Ave,40.70823502,-74.00530063,40.73047309,-73.98672378
22,West Thames St,Water - Whitehall Plaza,40.70834698,-74.01713445,40.70255065,-74.0127234
23,John St & William St,Vesey Pl & River Terrace,40.70862144,-74.00722156,40.715337899999994,-74.01658354
24,Market St & Cherry St,Cherry St,40.71076228,-73.99400398,40.71219906,-73.97948148
25,South End Ave & Liberty St,Broadway & W 24 St,40.711512,-74.01575600000001,40.742354299999995,-73.98915076
26,Hope St & Union Ave,N 12 St & Bedford Ave,40.71167351,-73.95141312,40.72079821,-73.95484712
27,Cherry St,Grand St & Elizabeth St,40.71219906,-73.97948148,40.718821999999996,-73.99596
28,Madison St & Clinton St,Madison St & Montgomery St,40.71269042,-73.98776323,40.713126,-73.984844
29,Pike St & E Broadway,Pike St & Monroe St,40.71406667,-73.99293911,40.71173107,-73.99193043
30,Division St & Bowery,Hudson St & Reade St,40.71413089,-73.99704679999999,40.71625008,-74.0091059
31,Henry St & Grand St,E 4 St & 2 Ave,40.714215,-73.981346,40.726280700000004,-73.98978041
32,Canal St & Rutgers St,Centre St & Chambers St,40.71427487,-73.98990025,40.71273266,-74.0046073
33,Reade St & Broadway,Bialystoker Pl & Delancey St,40.71450451,-74.00562789,40.71622644,-73.98261206
34,Reade St & Broadway,E 25 St & 2 Ave,40.71450451,-74.00562789,40.73912601,-73.97973776
35,Murray St & Greenwich St,Market St & Cherry St,40.714851505,-74.011223316,40.71076228,-73.99400398
36,Greenwich St & Warren St,William St & Pine St,40.71542197,-74.01121978,40.70717936,-74.00887308
37,Forsyth St & Canal St,Division St & Bowery,40.715815500000005,-73.99422366,40.71413089,-73.99704679999999
38,Bayard St & Baxter St,Barrow St & Hudson St,40.71602118,-73.99974372,40.73172428,-74.00674436
39,Columbia St & Rivington St,Forsyth St & Broome St,40.71739973,-73.98016555,40.71893904,-73.99266288
40,Leonard St & Church St,Cadman Plaza E & Red Cross Pl,40.717571,-74.005549,40.69991755,-73.98971773
41,Forsyth St & Broome St,Suffolk St & Stanton St,40.71893904,-73.99266288,40.72066442,-73.98517977
42,Forsyth St & Broome St,6 Ave & Broome St,40.71893904,-73.99266288,40.724399,-74.004704
43,Howard St & Centre St,9 Ave & W 22 St,40.71910537,-73.99973337,40.7454973,-74.00197139
44,Allen St & Rivington St,Cleveland Pl & Spring St,40.72019576,-73.98997825,40.722103786999995,-73.997249007
45,Greenwich St & N Moore St,Reade St & Broadway,40.72043411,-74.01020609,40.71450451,-74.00562789
46,Greenwich St & N Moore St,Allen St & Hester St,40.72043411,-74.01020609,40.71605866,-73.99190759
47,Avenue D & E 3 St,E 7 St & Avenue A,40.72082834,-73.97793172,40.72621788,-73.98379855
48,Rivington St & Chrystie St,E 15 St & 3 Ave,40.72110063,-73.99192540000001,40.734232,-73.986923
49,Grand St & Greene St,E 39 St & 2 Ave,40.72165481,-74.00234737,40.74780373,-73.97344190000001
50,E 2 St & Avenue B,Stanton St & Chrystie St,40.72217444,-73.98368779,40.72229346,-73.99147535
51,E 6 St & Avenue D,Norfolk St & Broome St,40.72228087,-73.97668709,40.7172274,-73.98802084
52,E 6 St & Avenue D,E 3 St & 1 Ave,40.72228087,-73.97668709,40.72467721,-73.98783413
53,Stanton St & Chrystie St,Broadway & W 29 St,40.72229346,-73.99147535,40.7462009,-73.98855723
54,6 Ave & Canal St,Lispenard St & Broadway,40.72243797,-74.00566443,40.71939226,-74.00247214
55,Mott St & Prince St,Allen St & E Houston St,40.72317958,-73.99480012,40.722055,-73.989111
56,Mott St & Prince St,1 Ave & E 16 St,40.72317958,-73.99480012,40.73221853,-73.98165557
57,E 6 St & Avenue B,Perry St & Bleecker St,40.72453734,-73.98185424,40.73535398,-74.00483091
58,W Broadway & Spring St,Lafayette St & E 8 St,40.72490985,-74.00154702,40.730206605,-73.99102628199999
59,W Broadway & Spring St,W 22 St & 10 Ave,40.72490985,-74.00154702,40.74691959,-74.00451887
60,E 9 St & Avenue C,MacDougal St & Washington Sq,40.72521311,-73.97768752,40.73226398,-73.99852205
61,MacDougal St & Prince St,University Pl & E 14 St,40.72710258,-74.00297088,40.73492695,-73.99200509
62,MacDougal St & Prince St,Bank St & Hudson St,40.72710258,-74.00297088,40.73652889,-74.00618026
63,E 10 St & Avenue A,E 13 St & Avenue A,40.72740794,-73.98142006,40.72955361,-73.98057249
64,St Marks Pl & 1 Ave,University Pl & E 8 St,40.72779126,-73.98564945,40.731437241,-73.994903415
65,Greenwich St & W Houston St,Liberty St & Broadway,40.728846000000004,-74.00859100000001,40.70905623,-74.01043382
66,LaGuardia Pl & W 3 St,W Broadway & Spring Street,40.72917025,-73.99810231,40.724946724,-74.00165855899999
67,Cooper Square & Astor Pl,St Marks Pl & 1 Ave,40.729514961999996,-73.990752697,40.72779126,-73.98564945
68,E 13 St & Avenue A,Rivington St & Chrystie St,40.72955361,-73.98057249,40.72110063,-73.99192540000001
69,1 Ave & E 16 St,Avenue D & E 12 St,40.73221853,-73.98165557,40.72580614,-73.97422494
70,E 12 St & 3 Ave,E 10 St & 5 Ave,40.73223272,-73.98889957,40.73331967,-73.99510132
71,E 20 St & FDR Drive,E 24 St & Park Ave S,40.73314259,-73.97573881,40.74096374,-73.98602213
72,E 10 St & 5 Ave,E 12 St & 3 Ave,40.73331967,-73.99510132,40.73223272,-73.98889957
73,1 Ave & E 18 St,E 2 St & 2 Ave,40.733812191999995,-73.980544209,40.72502876,-73.99069656
74,1 Ave & E 18 St,1 Ave & E 15 St,40.733812191999995,-73.980544209,40.73221853,-73.98165557
75,W 4 St & 7 Ave S,Bank St & Washington St,40.73401143,-74.00293877,40.7361967,-74.00859207
76,E 15 St & 3 Ave,Lafayette St & Jersey St,40.734232,-73.986923,40.724305273,-73.996009827
77,Greenwich Ave & Charles St,E 31 St & 3 Ave,40.735238,-74.000271,40.74394314,-73.97966069
78,W 11 St & 6 Ave,W 25 St & 6 Ave,40.73532427,-73.99800419,40.74395411,-73.99144871
79,E 16 St & 5 Ave,LaGuardia Pl & W 3 St,40.73726186,-73.99238967,40.72917025,-73.99810231
80,W 13 St & 7 Ave,E 20 St & FDR Drive,40.73781509,-73.99994661,40.73314259,-73.97573881
81,E 25 St & 1 Ave,Mott St & Prince St,40.7381765,-73.97738662,40.72317958,-73.99480012
82,E 25 St & 1 Ave,W 45 St & 8 Ave,40.7381765,-73.97738662,40.75929124,-73.98859651
83,E 25 St & 2 Ave,W 13 St & 5 Ave,40.73912601,-73.97973776,40.73543934,-73.99453948
84,Washington St & Gansevoort St,Washington St & Gansevoort St,40.739323,-74.008119,40.739323,-74.008119
85,W 15 St & 7 Ave,E 48 St & 3 Ave,40.73935542,-73.99931783,40.754601103,-73.971878855
86,E 27 St & 1 Ave,E 14 St & Avenue B,40.739445,-73.97680600000001,40.72938685,-73.97772429
87,Lexington Ave & E 24 St,W 24 St & 7 Ave,40.74025878,-73.98409214,40.74487634,-73.99529885
88,Lexington Ave & E 24 St,W 27 St & 7 Ave,40.74025878,-73.98409214,40.746646999999996,-73.993915
89,9 Ave & W 14 St,2 Ave & E 31 St,40.7405826,-74.00550867,40.74290902,-73.97706058
90,E 24 St & Park Ave S,W 56 St & 6 Ave,40.74096374,-73.98602213,40.76340613,-73.97722479
91,1 Ave & E 30 St,Mercer St & Bleecker St,40.74144387,-73.97536082,40.727063633,-73.99662137
92,Broadway & W 24 St,Avenue D & E 8 St,40.742354299999995,-73.98915076,40.72368361,-73.97574813
93,Broadway & W 24 St,E 25 St & 1 Ave,40.742354299999995,-73.98915076,40.7381765,-73.97738662
94,Broadway & W 24 St,E 37 St & Lexington Ave,40.742354299999995,-73.98915076,40.748238,-73.978311
95,2 Ave & E 31 St,E 30 St & Park Ave S,40.74290902,-73.97706058,40.74444921,-73.98303529
96,2 Ave & E 31 St,E 32 St & Park Ave,40.74290902,-73.97706058,40.745712100000006,-73.98194829
97,E 31 St & 3 Ave,Hicks St & Montague St,40.74394314,-73.97966069,40.69512845,-73.99595065
98,E 30 St & Park Ave S,W 31 St & 7 Ave,40.74444921,-73.98303529,40.749156,-73.9916
99,E 30 St & Park Ave S,8 Ave & W 31 St,40.74444921,-73.98303529,40.750967349,-73.994442075
100,5 Ave & E 29 St,E 47 St & 1 Ave,40.7451677,-73.98683077,40.75206862,-73.96784384
101,E 32 St & Park Ave,MacDougal St & Prince St,40.745712100000006,-73.98194829,40.72710258,-74.00297088
102,Broadway & W 29 St,E 17 St & Broadway,40.7462009,-73.98855723,40.73704984,-73.99009296
103,W 27 St & 7 Ave,Carmine St & 6 Ave,40.746646999999996,-73.993915,40.73038599,-74.00214988
104,W 27 St & 7 Ave,W 18 St & 6 Ave,40.746646999999996,-73.993915,40.73971301,-73.99456405
105,W 22 St & 10 Ave,Centre St & Worth St,40.74691959,-74.00451887,40.71494807,-74.00234482
106,W 26 St & 8 Ave,W 22 St & 8 Ave,40.74734825,-73.99723551,40.74475148,-73.99915362
107,E 33 St & 5 Ave,FDR Drive & E 35 St,40.74765947,-73.98490707,40.744219,-73.97121214
108,E 39 St & 2 Ave,Lexington Ave & E 24 St,40.74780373,-73.97344190000001,40.74025878,-73.98409214
109,E 39 St & 2 Ave,1 Ave & E 30 St,40.74780373,-73.97344190000001,40.74144387,-73.97536082
110,E 37 St & Lexington Ave,W 37 St & 10 Ave,40.748238,-73.978311,40.75660359,-73.9979009
111,6 Ave & W 33 St,W 13 St & 6 Ave,40.74901271,-73.98848395,40.73649403,-73.99704374
112,W 37 St & 5 Ave,6 Ave & W 33 St,40.75038009,-73.98338988,40.74901271,-73.98848395
113,21 St & 43 Ave,Jackson Ave & 46 Rd,40.75052534,-73.94594845,40.74524768,-73.94733276
114,E 47 St & 1 Ave,Greenwich Ave & 8 Ave,40.75206862,-73.96784384,40.739016912,-74.00263761
115,E 51 St & 1 Ave,Pershing Square North,40.75455731,-73.96592976,40.751872999999996,-73.97770600000001
116,W 44 St & 5 Ave,E 45 St & 3 Ave,40.75500254,-73.98014437,40.75255434,-73.97282625
117,W 34 St & 11 Ave,11 Ave & W 41 St,40.75594159,-74.0021163,40.76030096,-73.99884222
118,W 45 St & 6 Ave,E 43 St & Vanderbilt Ave,40.7568001,-73.98291153,40.75320159,-73.9779874
119,E 51 St & Lexington Ave,W 43 St & 10 Ave,40.75714758,-73.97207836,40.76009437,-73.99461843
120,W 42 St & 8 Ave,12 Ave & W 40 St,40.75756989999999,-73.99098507,40.76087502,-74.00277668
121,E 55 St & 2 Ave,E 10 St & Avenue A,40.75797322,-73.96603308,40.72740794,-73.98142006
122,E 53 St & Lexington Ave,E 56 St & Madison Ave,40.75828065,-73.97069431,40.761628,-73.972924
123,E 53 St & Lexington Ave,W 84 St & Columbus Ave,40.75828065,-73.97069431,40.78499979,-73.97283406
124,9 Ave & W 45 St,West St & Chambers St,40.76019252,-73.9912551,40.71754834,-74.01322069
125,Broadway & W 49 St,Broadway & W 56 St,40.760683271,-73.98452729,40.7652654,-73.98192338
126,W 52 St & 6 Ave,Central Park W & W 96 St,40.761329831,-73.97982001300001,40.791270000000004,-73.964839
127,8 Ave & W 52 St,W 56 St & 10 Ave,40.76370739,-73.9851615,40.768254,-73.988639
128,Central Park S & 6 Ave,8 Ave & W 52 St,40.76590936,-73.97634151,40.76370739,-73.9851615
129,Central Park S & 6 Ave,Central Park West & W 76 St,40.76590936,-73.97634151,40.77896784,-73.97374737
130,Broadway & W 58 St,Front St & Washington St,40.76695317,-73.98169333,40.70255088,-73.98940236
131,Broadway & W 58 St,W 21 St & 6 Ave,40.76695317,-73.98169333,40.74173969,-73.99415556
132,Broadway & W 58 St,W 67 St & Broadway,40.76695317,-73.98169333,40.77492513,-73.98266566
133,W 59 St & 10 Ave,W 47 St & 10 Ave,40.770513,-73.988038,40.76269882,-73.99301222
134,E 75 St & 3 Ave,1 Ave & E 62 St,40.77112927,-73.95772297,40.761227399999996,-73.96094022
135,E 75 St & 3 Ave,E 81 St & 3 Ave,40.77112927,-73.95772297,40.77573034,-73.9567526
136,1 Ave & E 78 St,E 109 St & 3 Ave,40.77140426,-73.9535166,40.79329668,-73.9432083
137,11 Ave & W 59 St,W 41 St & 8 Ave,40.771522,-73.99054100000001,40.75640548,-73.9900262
138,W 63 St & Broadway,W 84 St & Broadway,40.77163851,-73.98261428,40.7867947,-73.977112
139,E 81 St & York Ave,E 76 St & 3 Ave,40.7728384,-73.94989233,40.772248538,-73.95842135
140,Central Park West & W 68 St,W 76 St & Columbus Ave,40.7734066,-73.97782542,40.780183971999996,-73.977285326
141,W 64 St & West End Ave,Riverside Dr & W 72 St,40.77452835,-73.98753759,40.78057799,-73.985624313
142,5 Ave & E 78 St,Broadway & W 58 St,40.776321421999995,-73.96427393,40.76695317,-73.98169333
143,W 70 St & Amsterdam Ave,W 64 St & West End Ave,40.77748046,-73.98288594,40.77452835,-73.98753759
144,E 85 St & 3 Ave,Amsterdam Ave & W 73 St,40.77801203,-73.95407149,40.77966809,-73.980930448
145,E 88 St & 1 Ave,W 107 St & Columbus Ave,40.778301,-73.9488134,40.7997568,-73.962112868
146,Amsterdam Ave & W 73 St,W 70 St & Amsterdam Ave,40.77966809,-73.980930448,40.77748046,-73.98288594
147,Riverside Dr & W 72 St,Riverside Blvd & W 67 St,40.78057799,-73.985624313,40.777507028,-73.98888588
148,W 84 St & Columbus Ave,Grand Army Plaza & Central Park S,40.78499979,-73.97283406,40.764397100000004,-73.97371465
149,W 84 St & Columbus Ave,W 100 St & Manhattan Ave,40.78499979,-73.97283406,40.795,-73.9645
150,E 97 St & 3 Ave,E 97 St & 3 Ave,40.7859201,-73.94860294,40.7859201,-73.94860294
151,Columbus Ave & W 95 St,W 95 St & Broadway,40.7919557,-73.968087,40.7937704,-73.971888
152,3 Ave & E 112 St,2 Ave & E 99 St,40.795508,-73.94160600000001,40.786258600000004,-73.94552579
153,Central Park North & Adam Clayton Powell Blvd,E 74 St & 1 Ave,40.799484,-73.955613,40.7689738,-73.95482273
